Час збору,Компанія,Тип зберігання,Місце зберігання,Адреса/Регіон,Пшениця 3 клас,Пшениця,Ячмінь,Кукурудза,Соя,Пшениця некондиція,Соняшник,Соняшник високоолеїновий,Гречка,Ріпак без ГМО,Пшениця 4 клас,Пшениця 2 клас
2025-12-26 17:30:27,Нібулон,Елеватор,Новоодеська філія Нібулон,"Николаевская, Новоодесский",9 800,9 700,9 300,10 050,9 350,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Глобинський філіал - Нібулон,"Полтавская, Глобинский",8 950,8 850,8 550,,8 350,17 900,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Мар'янівський елеватор,"Полтавская, Гребенковський",8 800,8 700,8 350,,8 230,17 650,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Решетилівський елеватор,"Полтавская, Кобеляцкий",8 800,8 700,8 350,,8 230,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Градізька філія - Нібулон,"Полтавская, Кременчугский",8 950,8 850,8 550,,8 350,17 900,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",8 950,8 850,8 550,,8 350,17 800,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Філія Ромодан Нібулона,"Полтавская, Миргородский",8 800,8 700,8 350,,8 230,17 650,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Скороходівська філія,"Полтавская, Чутовский",8 850,8 750,8 400,,8 250,17 650,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Смотрич Філія - Нібулон,"Хмельницкая, Камянец-Подольский",8 750,,8 350,,8 400,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Золотоніська філія - Нібулон,"Черкасская, Золотоношский",8 850,8 750,8 350,,8 350,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",9 100,9 000,8 650,,8 550,17 800,,,,,,
2025-12-26 17:30:27,Кернел,Порт,Трансбалктермінал (ТБТ),"Одесская, Белгород-Днестровский",9 800,9 800,,10 200229$,,9 550,9 400,,,,,
2025-12-26 17:30:27,Кернел,Порт,Українська Чорноморська Індустрія (УЧІ),"Одесская, Белгород-Днестровский",,,26 300,,,,,,,,,
2025-12-26 17:30:27,Кернел,Елеватор,Білоцерківхлібопродукт,"Киевская, Белоцерковский",,,,,,,,,,19 000,,
2025-12-26 17:30:27,Кернел,Елеватор,Кропивницький ОЕЗ,"Кировоградская, Кропивницкий",,,,,,,,25 900,,,,
2025-12-26 17:30:27,Кернел,Елеватор,Приднепровский МЭЗ,"Кировоградская, Кропивницкий",,,,,30 500,,,25 900,,,,
2025-12-26 17:30:27,Кернел,Елеватор,Бандурский МЭЗ,"Николаевская, Первомайский",,,,,,,,,18 000,,,
2025-12-26 17:30:27,Кернел,Елеватор,Полтавський ОЕЗ,"Полтавская, Полтавский",,,,,,,,25 400,,,,
2025-12-26 17:30:27,Кернел,Елеватор,Старокостянтинівський ОЕЗ,"Хмельницкая, Староконстантиновский",,,,,,,,25 400,17 000,,,
2025-12-26 17:30:27,ЛНЗ Груп,Порт,Чорноморський МТП,"Одесская, Белгород-Днестровский",9 200198$,,,9 950207$,,,,,,,9 100196$,
2025-12-26 17:30:27,ЛНЗ Груп,Елеватор,Елеватор Київ-Атлантік Україна,"Киевская, Мироновский",8 000,,,,7 900,,,,,,,
2025-12-26 17:30:27,ТАС АГРО,Елеватор,Зерногрупа ЛТД (Погребище),"Винницкая, Погребищенский",,,,,10 000,,4 100,,,,,
2025-12-26 17:30:27,Астарта-Київ,Елеватор,Глобинський переробний завод,"Полтавская, Глобинский",,,,,,,,,,,,
2025-12-26 17:30:27,Астарта-Київ,Елеватор,Лутовиновський елеватор,"Полтавская, Козельщинский",,,,,,,,,,,,
2025-12-26 17:30:27,Астарта-Київ,Елеватор,Зерно Агротрейд (Скороходівський елеватор) - Астарта,"Полтавская, Чутовский",,,,,,,,,,,,
2025-12-26 17:30:27,Астарта-Київ,Елеватор,Яреськовский элеватор,"Полтавская, Шишацкий",,,,,,,,,,,,
2025-12-26 17:30:27,Астарта-Київ,Елеватор,Семенівське ХПП,"Черниговская, Новгород-Северский",,,,,,,,,,,,
2025-12-26 17:30:27,МХП,Порт,Рісоіл (Risoil),"Одесская, Лиманский",,9 500,,,,,,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Ладижинський елеватор Вінницька птахофабрика,"Винницкая, Гайсинский",,27 000,,,8 800,,8 300,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Зернопродукт МХП – Шпиков,"Винницкая, Тульчинский",,26 600,,,,,,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Орель-Лідер - Меліоративне,"Днепропетровская, Новомосковский",,26 600,,,,,,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Китайгородський елеватор,"Днепропетровская, Царичанський",,26 600,,,,,,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Городенківський елеватор філія Перспектив,"Ивано-Франковская, Городенковский",,,,,,,7 900,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Мироновский ЗИКК,"Киевская, Мироновский",,27 000,,,8 800,,8 100,,,,,
2025-12-26 17:30:27,МХП,Елеватор,"Яготинський елеватор, відділення ТОВ ""Агро-С""","Киевская, Яготинский",,,,,,,8 100,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Орель-Лідер - Рокита,"Полтавская, Великобагачанский",,26 600,,,,,,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Андріяшевський елеватор,"Сумская, Роменский",,26 000,,,,,7 900,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Ямпільський елеватор,"Хмельницкая, Белогорский",,,,,,,7 900,,,,,
2025-12-26 17:30:27,МХП,Елеватор,Катеринопільський елеватор,"Черкасская, Катеринопольский",,27 000,,,,,8 200,,,,,
2025-12-26 17:30:27,Агропросперіс (NCH),Порт,Транс-сервис термінал,"Одесская, Овидиопольский",10 150,10 100,,9 700,,,,,,,,
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Агродар-Бар,"Винницкая, Барский",8 500,8 400,,8 000,,,7 900,25 500,,,,17 200
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Джулінський елеватор,"Винницкая, Бершадский",8 500,8 400,,8 000,,,7 900,25 500,,,,17 200
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Жмеринський елеватор,"Винницкая, Жмеринский",8 500,8 400,,8 000,,,7 900,25 500,,,,17 200
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Сорочанський Мірошник,"Винницкая, Ильинецкий",8 500,8 400,,8 000,,,7 900,25 500,,,,17 200
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Радивилівський елеватор,"Ровенская, Радивиловский",8 300,8 200,,7 800,,,7 700,25 500,,,,17 200
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Дубов'явський елеватор,"Сумская, Конотопский",8 100,8 000,,7 600,,,7 500,25 000,,,,17 000
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Кролевецький елеватор,"Сумская, Кролевецкий",8 100,8 000,,7 600,,,7 500,25 000,,,,17 000
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Власівський Мірошник,"Харьковская, Нововодолажский",8 100,8 000,,7 600,,,7 500,25 000,,,,17 000
2025-12-26 17:30:27,Агропросперіс (NCH),Елеватор,Поділля елеватор (Білогородський КХП),"Хмельницкая, Хмельницкий",8 300,8 200,,7 800,,,7 700,25 500,,,,17 200
